,0
0,Connecticut
1,Florida
2,Georgia
3,Illinois
4,Iowa
5,Kentucky
6,Maryland
7,Massachusetts
8,Michigan
9,Minnesota
10,Mississippi
11,Missouri
12,Montana
13,Nebraska
14,Nevada
15,New Hampshire
16,New Jersey
17,New Mexico
18,New York
19,North Carolina
20,North Dakota
21,Ohio
22,Oklahoma
23,Oregon
24,Pennsylvania
25,Rhode Island
26,South Carolina
27,South Dakota
28,Tennessee
29,Texas
30,Utah
31,Vermont
32,Virginia
33,Washington
34,West Virginia
35,Wisconsin
36,Wyoming
